What me the best way for exam preparation?,"You should make notes and listen properly in class, and do not use your PLD for other purposes such as gaming during lessons. Also, you can check out notes made by other students here: https://50thhsc.notion.site/HC-NOTES-2023-9db11009754a4d8b94f347f5d1033bc13"

What should i prepare for an exam?,"You should make notes and listen properly in class, and do not use your PLD for other purposes such as gaming during lessons. Also, you can check out notes made by other students here: https://50thhsc.notion.site/HC-NOTES-2023-9db11009754a4d8b94f347f5d1033bc13"

What is your figure ?,My name is The Orientator

What is your gens ?,My name is The Orientator

What is your public figure ?,My name is The Orientator

What is your epithet ?,My name is The Orientator

How is a chatbot different from other chatbots?,"I am an AI Chatbot that specialises in answering questions related to HCI, not any other topics."

How different is a chatbot from other bots?,"I am an AI Chatbot that specialises in answering questions related to HCI, not any other topics."

How do you compare to any other chatbot?,"I am an AI Chatbot that specialises in answering questions related to HCI, not any other topics."

How different is a chatbot from other types of bots?,"I am an AI Chatbot that specialises in answering questions related to HCI, not any other topics."

How different are you from other chatbots?,"I am an AI Chatbot that specialises in answering questions related to HCI, not any other topics."

How distinct are you from other chatbots?,"I am an AI Chatbot that specialises in answering questions related to HCI, not any other topics."

How do i prepare for an upcoming exam?,"You should make notes and listen properly in class, and do not use your PLD for other purposes such as gaming during lessons. Also, you can check out notes made by other students here: https://50thhsc.notion.site/HC-NOTES-2023-9db11009754a4d8b94f347f5d1033bc8"

How can i prepare for exams?,"You should make notes and listen properly in class, and do not use your PLD for other purposes such as gaming during lessons. Also, you can check out notes made by other students here: https://50thhsc.notion.site/HC-NOTES-2023-9db11009754a4d8b94f347f5d1033bc8"

How can i prepare for my upcoming exams?,"You should make notes and listen properly in class, and do not use your PLD for other purposes such as gaming during lessons. Also, you can check out notes made by other students here: https://50thhsc.notion.site/HC-NOTES-2023-9db11009754a4d8b94f347f5d1033bc8"

How me the best way to prepare for my exam?,"You should make notes and listen properly in class, and do not use your PLD for other purposes such as gaming during lessons. Also, you can check out notes made by other students here: https://50thhsc.notion.site/HC-NOTES-2023-9db11009754a4d8b94f347f5d1033bc8"

How do i prepare for exams?,"You should make notes and listen properly in class, and do not use your PLD for other purposes such as gaming during lessons. Also, you can check out notes made by other students here: https://50thhsc.notion.site/HC-NOTES-2023-9db11009754a4d8b94f347f5d1033bc8"

